Epoch 1120, Loss: 0.44064855261852864, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1130, Loss: 0.4390119094597666, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1140, Loss: 0.6029740216700654, L_bead_necessary: 0.13235294818878174, L_adj_necessary: 0.011363636702299118
Epoch 1150, Loss: 0.43773512493782235, L_bead_necessary: 0.0, L_adj_necessary: 0.0
Epoch 1160, Loss: 0.4393196531032261, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1170, Loss: 0.43851276553775137, L_bead_necessary: 0.007299270015209913, L_adj_necessary: 0.008450704626739025
Epoch 1180, Loss: 0.44110141522005986, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 1190, Loss: 0.4378018950553317, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1200, Loss: 0.6432473021118265, L_bead_necessary: 0.029197080060839653, L_adj_necessary: 0.008450704626739025
Epoch 1210, Loss: 0.43877162529449715, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1220, Loss: 0.43834598056579893, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1230, Loss: 0.43920776416596613, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1240, Loss: 0.43987949608187926, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 1250, Loss: 0.44071036687022763, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 1260, Loss: 0.438462290873653, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1270, Loss: 0.6890715498673289, L_bead_necessary: 0.04511278122663498, L_adj_necessary: 0.020408162847161293
Epoch 1280, Loss: 0.4381964400410652, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1290, Loss: 0.4377204163159293, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1300, Loss: 0.44143113729200867, L_bead_necessary: 0.007633587811142206, L_adj_necessary: 0.026706231757998466
Epoch 1310, Loss: 0.43729827400100857, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1320, Loss: 0.4385294575832392, L_bead_necessary: 0.007246376946568489, L_adj_necessary: 0.005586592014878988
Epoch 1330, Loss: 0.43848837806206, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1340, Loss: 0.5837596750573109, L_bead_necessary: 0.058394160121679306, L_adj_necessary: 0.008450704626739025
Epoch 1350, Loss: 0.4375234927001752, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1360, Loss: 0.43788841594206657, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1370, Loss: 0.4394392282947114, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1380, Loss: 0.43853600480054555, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1390, Loss: 0.4398907314397787, L_bead_necessary: 0.0, L_adj_necessary: 0.0235294122248888
Epoch 1400, Loss: 0.4376337627702589, L_bead_necessary: 0.0, L_adj_necessary: 0.0
Epoch 1410, Loss: 0.43661395964384275, L_bead_necessary: 0.0, L_adj_necessary: 0.0
Epoch 1420, Loss: 0.4363819611902153, L_bead_necessary: 0.0, L_adj_necessary: 0.0
Epoch 1430, Loss: 0.4385098743595575, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1440, Loss: 0.43680441485423793, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1450, Loss: 0.4390781410430607, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1460, Loss: 0.43833354315475415, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1470, Loss: 0.4371348035962958, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1480, Loss: 0.4371360723517443, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1490, Loss: 0.4375340619712676, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1500, Loss: 0.43736019499207796, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1510, Loss: 0.4380110663803, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1520, Loss: 0.4383520608669833, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1530, Loss: 0.4380857679796846, L_bead_necessary: 0.007352941203862429, L_adj_necessary: 0.011363636702299118
Epoch 1540, Loss: 0.4374591763547965, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1550, Loss: 0.43766745574355714, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1560, Loss: 0.43706773452852904, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1570, Loss: 0.43793243546234933, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1580, Loss: 0.43729290142655375, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1590, Loss: 0.43658341863437705, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1600, Loss: 0.43739037609806186, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1610, Loss: 0.43865358664801246, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 1620, Loss: 0.4380892853179064, L_bead_necessary: 0.0, L_adj_necessary: 0.0
Epoch 1630, Loss: 0.43744846332303594, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1640, Loss: 0.43786612321671686, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1650, Loss: 0.43822306383548204, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1660, Loss: 0.43747816463062345, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1670, Loss: 0.4381083064957669, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 1680, Loss: 0.4387532219682869, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 1690, Loss: 0.43776700779011374, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
