Rint,Equivalent_water_thickness,Index
181.19206,181.45037,10691
-0.50828667,-0.65948777,10710
139.23206,134.62107,10718
-0.37868448,-0.46714424,10736
1.5508075,1.7464997,10742
2.6058097,2.9276078,10760
246.19954,302.24017,10772
238.36548,283.88532,10797
511.23478,615.34179,10819
558.40525,720.57951,10840
408.46306,519.37904,10851
325.13579,401.82979,10887
87.110468,105.40766,10889
3.9612349,4.9965105,10897
0.35652815,0.41506119,10960
-0.67338363,-0.74565815,11020
-0.63966324,-0.73113304,11072
155.66117,199.26894,11370
59.962075,73.253014,11392
12.577109,15.703897,11421
22.394104,24.119283,11438
58.126241,75.434481,11468
124.92242,154.19126,11505
123.48472,143.47676,11508
5.530919,6.1771612,11540
58.089174,71.490189,11610
198.8098,211.40265,11636
49.359159,56.556538,11639
125.34157,151.84242,11666
17.487444,20.937512,11668
27.882216,30.345118,11804
56.669929,57.654311,11830
16.884527,29.494847,11831
21.771007,33.064464,11832
44.801496,49.118284,11853
17.595693,29.546012,11854
16.014463,29.78283,11855
3.4671802,3.5911997,11900
103.39712,128.31388,12018
-0.59767755,-0.70497714,12031
0.10765181,0.12497351,12055
16.71562,19.524231,12094
6.2858094,9.2288086,12122
5.9069901,6.8615775,12123
