Rint,Equivalent_water_thickness,Index,bead1,bead2,bead3,bead4,bead5,charge1,charge2,charge3,charge4,charge5,net_charge,label_NM1,label_HB1,label_PN1,label_SI1,label_SZ1,label_NM2,label_HB2,label_PN2,label_SI2,label_SZ2,label_NM3,label_HB3,label_PN3,label_SI3,label_SZ3,label_NM4,label_HB4,label_PN4,label_SI4,label_SZ4,label_NM5,label_HB5,label_PN5,label_SI5,label_SZ5,delta_G1,delta_G2,delta_G3,delta_G4,delta_G5
565.09235,675.53087,3643,C1,N4a,N4a,P2,P4,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,N4,a,none,none,R,P2,none,none,none,R,P4,none,none,none,R,17.2,-5.0,-5.0,-13.2,-17.1
291.07973,297.96282,3644,C1,N4a,N4a,P2,SQ4p,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N4,a,none,none,R,P2,none,none,none,R,Q4,none,p,none,S,17.2,-5.0,-5.0,-13.2,-59.2
107.07119,114.06222,3678,C1,N4a,N5a,SQ2p,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,Q2,none,p,none,S,N6,none,none,none,R,17.2,-5.0,-7.5,-43.3,-9.8
186.07146,227.70322,3720,C1,N4a,N5a,N1a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,N1,a,none,none,R,Q4,none,n,none,R,17.2,-5.0,-7.5,2.9,-48.3
166.46259,176.07459,3744,C1,N4a,N5a,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,-5.0,-7.5,-7.5,-32.7
416.82357,485.46989,3767,C1,N4a,N5a,P2,P4,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,P2,none,none,none,R,P4,none,none,none,R,17.2,-5.0,-7.5,-13.2,-17.1
425.21562,502.75833,3768,C1,N4a,N5a,P2,SQ4p,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,P2,none,none,none,R,Q4,none,p,none,S,17.2,-5.0,-7.5,-13.2,-59.2
412.75611,467.0386,3821,C1,N4a,N4,N1,Q5n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N4,none,none,none,R,N1,none,none,none,R,Q5,none,n,none,R,17.2,-5.0,-5.0,2.9,-64.1
315.56294,360.56459,3878,C1,N4a,P2,N3r,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,P2,none,none,none,R,N3,none,none,r,R,Q2,none,none,none,R,17.2,-5.0,-13.2,-3.6,-32.7
379.99505,462.68146,3884,C1,N4a,P2,N4a,P4,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,P2,none,none,none,R,N4,a,none,none,R,P4,none,none,none,R,17.2,-5.0,-13.2,-5.0,-17.1
482.28849,510.88645,3905,C1,N4a,P2,P4,N6,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,P2,none,none,none,R,P4,none,none,none,R,N6,none,none,none,R,17.2,-5.0,-13.2,-17.1,-9.8
528.63587,589.16613,3980,C1,N4a,P4,P4,N6,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,P4,none,none,none,R,P4,none,none,none,R,N6,none,none,none,R,17.2,-5.0,-17.1,-17.1,-9.8
49.756387,52.867931,3994,C1,N4a,N1,Q2,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N1,none,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,17.2,-5.0,2.9,-32.7,-9.8
105.51264,124.23651,4006,C1,N4a,N1,N3a,Q5n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N1,none,none,none,R,N3,a,none,none,R,Q5,none,n,none,R,17.2,-5.0,2.9,-3.6,-64.1
213.98823,200.76522,4045,C1,N4a,N6,SQ2p,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,Q2,none,p,none,S,N6,none,none,none,R,17.2,-5.0,-9.8,-43.3,-9.8
189.32112,200.68695,4052,C1,N4a,N6,Q2,Q1,0.0,0.0,0.0,1.0,1.0,2.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,Q2,none,none,none,R,Q1,none,none,none,R,17.2,-5.0,-9.8,-32.7,-24.2
155.94158,171.80814,4060,C1,N4a,N6,Q2,N1,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,Q2,none,none,none,R,N1,none,none,none,R,17.2,-5.0,-9.8,-32.7,2.9
112.05514,112.80784,4083,C1,N4a,N6,N2,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,N2,none,none,none,R,Q2,none,none,none,R,17.2,-5.0,-9.8,0.5,-32.7
590.8459,718.74473,4110,C1,N4a,N6,N3a,SQ2p,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,N3,a,none,none,R,Q2,none,p,none,S,17.2,-5.0,-9.8,-3.6,-43.3
307.4089,350.05677,4118,C1,N4a,N6,P2,P4,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,P2,none,none,none,R,P4,none,none,none,R,17.2,-5.0,-9.8,-13.2,-17.1
-0.076390268,-0.12991562,4121,C1,N4a,N6,P4,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,P4,none,none,none,R,Q4,none,n,none,R,17.2,-5.0,-9.8,-17.1,-48.3
442.17157,620.56632,4123,C1,N4a,N6,P4,Q1,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,P4,none,none,none,R,Q1,none,none,none,R,17.2,-5.0,-9.8,-17.1,-24.2
103.24458,107.63521,4249,C1,N4a,N3r,N5a,SQ2p,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N3,none,none,r,R,N5,a,none,none,R,Q2,none,p,none,S,17.2,-5.0,-3.6,-7.5,-43.3
-0.53017474,-0.68625351,4272,C1,N4a,N4,SQ2p,P1,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N4,none,none,none,R,Q2,none,p,none,S,P1,none,none,none,R,17.2,-5.0,-5.0,-43.3,-11.1
181.29078,202.38424,4293,C1,N4a,N4,N1a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N4,none,none,none,R,N1,a,none,none,R,Q4,none,n,none,R,17.2,-5.0,-5.0,2.9,-48.3
184.31058,201.33021,4303,C1,N4a,N4,N5a,SQ2p,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N4,none,none,none,R,N5,a,none,none,R,Q2,none,p,none,S,17.2,-5.0,-5.0,-7.5,-43.3
245.67619,292.59483,4315,C1,N4a,N4,P2,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N4,none,none,none,R,P2,none,none,none,R,Q2,none,none,none,R,17.2,-5.0,-5.0,-13.2,-32.7
95.788028,118.08592,4338,C1,N4a,N3a,N1a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N3,a,none,none,R,N1,a,none,none,R,Q4,none,n,none,R,17.2,-5.0,-3.6,2.9,-48.3
88.389251,109.72691,4355,C1,N4a,N3a,P2,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N3,a,none,none,R,P2,none,none,none,R,Q2,none,none,none,R,17.2,-5.0,-3.6,-13.2,-32.7
