smiles,bead_combined,delta_G_head_sum,prediction,positive,negative
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(COC)cc3,SQ3p-P2-N6-N3r,74.39999999999999,0,0.6860824227333069,0.3139175176620483
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(CC(=O)OC)cc3,SQ3p-P2-N6-N4a,75.8,0,0.74014812707901,0.25985187292099
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(COC(=O)C)cc3,SQ3p-P2-N6-N4a,75.8,0,0.6962702870368958,0.3037297427654266
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(CNC)cc3,SQ3p-P2-N6-N4,75.8,0,0.6860824227333069,0.3139174878597259
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(CN(C)C)cc3,SQ3p-P2-N6-N3a,74.39999999999999,0,0.6911624670028687,0.3088375031948089
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-P2-N6-N6,80.6,0,0.7901855111122131,0.2098144143819809
CCCCCCCCCCCC[NH2+]CC(O)(O)COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-P4-N6-N6,84.5,0,0.989417850971222,0.0105821248143911
CCCCCCCCCCCC[NH2+]COc2ccc(COCC(=O)Cl)cc2,SQ3p-N6-N3r-N2ah,60.7,0,0.9453123211860656,0.0546877086162567
CCCCCCCCCCCC[NH2+]COc2ccc(COCO)cc2,SQ3p-N6-N3r-P1,72.3,0,0.948613166809082,0.0513867959380149
CCCCCCCCCCCC[NH2+]COc2ccc(COCC(=O)N)cc2,SQ3p-N6-N3r-P5,80.39999999999999,0,0.8954808115959167,0.1045192256569862
CCCCCCCCCCCC[NH2+]COc2ccc(COCC(=O)NC)cc2,SQ3p-N6-N3r-P3,76.19999999999999,0,0.9704458713531494,0.0295540895313024
CCCCCCCCCCCC[NH2+]COc2ccc(COCC(=O)N(C)C)cc2,SQ3p-N6-N3r-P3a,76.19999999999999,0,0.9918928146362304,0.0081072328612208
CCCCCCCCCCCC[NH2+]COc2ccc(COCC(=O)O)cc2,SQ3p-N6-N3r-P2,74.39999999999999,0,0.8954808115959167,0.1045192256569862
CCCCCCCCCCCC[NH2+]COc2ccc(COCOC)cc2,SQ3p-N6-N3r-N3r,64.8,0,0.940192699432373,0.059807326644659
CCCCCCCCCCCC[NH2+]COc2ccc(COCC(=O)OC)cc2,SQ3p-N6-N3r-N4a,66.19999999999999,0,0.9704458713531494,0.0295540820807218
CCCCCCCCCCCC[NH2+]COc2ccc(COCOC(=O)C)cc2,SQ3p-N6-N3r-N4a,66.19999999999999,0,0.9366983771324158,0.0633016526699066
CCCCCCCCCCCC[NH2+]COc2ccc(COCC(=O)C)cc2,SQ3p-N6-N3r-N5a,68.69999999999999,0,0.9453123211860656,0.0546877086162567
CCCCCCCCCCCC[NH2+]COc2ccc(COCOc4ccc(C)cc4)cc2,SQ3p-N6-N3r-N6,71.0,0,0.9837071299552916,0.0162928607314825
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCC#N)cc2,SQ3p-N6-N4a-N2a,62.1,0,0.9167597889900208,0.0832402184605598
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCO)cc2,SQ3p-N6-N4a-P1,73.69999999999999,0,0.9681585431098938,0.0318414755165576
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCC(=O)N)cc2,SQ3p-N6-N4a-P5,81.8,0,0.9541332721710204,0.0458666868507862
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCC(=O)NC)cc2,SQ3p-N6-N4a-P3,77.6,0,0.9876734614372252,0.0123265767470002
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCC(=O)N(C)C)cc2,SQ3p-N6-N4a-P3a,77.6,0,0.9906136989593506,0.0093863233923912
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCC(=O)O)cc2,SQ3p-N6-N4a-P2,75.8,0,0.9541332721710204,0.0458666980266571
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCOC)cc2,SQ3p-N6-N4a-N3r,66.19999999999999,0,0.963397204875946,0.0366027690470218
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCC(=O)OC)cc2,SQ3p-N6-N4a-N4a,67.6,0,0.9876734614372252,0.0123265767470002
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCOC(=O)C)cc2,SQ3p-N6-N4a-N4a,67.6,0,0.975354552268982,0.0246454942971467
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCC(=O)C)cc2,SQ3p-N6-N4a-N5a,70.1,0,0.9779887795448304,0.0220111813396215
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)OCOc4ccc(C)cc4)cc2,SQ3p-N6-N4a-N6,72.39999999999999,0,0.9911841154098512,0.0088159283623099
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CN)cc2,SQ3p-N6-N4a-N6d,72.39999999999999,0,0.9535649418830872,0.0464350953698158
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CO)cc2,SQ3p-N6-N4a-P1,73.69999999999999,0,0.9535649418830872,0.0464350953698158
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CC(=O)N)cc2,SQ3p-N6-N4a-P5,81.8,0,0.9538084268569946,0.0461915209889411
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CC(=O)NC)cc2,SQ3p-N6-N4a-P3,77.6,0,0.9821982979774476,0.0178017374128103
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CC(=O)N(C)C)cc2,SQ3p-N6-N4a-P3a,77.6,0,0.9916398525238036,0.0083601102232933
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CC(=O)O)cc2,SQ3p-N6-N4a-P2,75.8,0,0.9538084268569946,0.0461915358901023
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)COC)cc2,SQ3p-N6-N4a-N3r,66.19999999999999,0,0.9378053545951844,0.0621946454048156
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CC(=O)OC)cc2,SQ3p-N6-N4a-N4a,67.6,0,0.9821982979774476,0.0178017374128103
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)COC(=O)C)cc2,SQ3p-N6-N4a-N4a,67.6,0,0.9822165966033936,0.0177834145724773
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CC(=O)C)cc2,SQ3p-N6-N4a-N5a,70.1,0,0.982426643371582,0.0175733175128698
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CNC)cc2,SQ3p-N6-N4a-N4,67.6,0,0.9378053545951844,0.0621946454048156
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)CN(C)C)cc2,SQ3p-N6-N4a-N3a,66.19999999999999,0,0.970322847366333,0.0296771842986345
CCCCCCCCCCCC[NH2+]COc2ccc(COC(=O)COc4ccc(C)cc4)cc2,SQ3p-N6-N4a-N6,72.39999999999999,0,0.9940173625946044,0.005982575006783
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)CN)cc2,SQ3p-N6-N5a-N6d,74.89999999999999,0,0.941802978515625,0.0581970028579235
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)CO)cc2,SQ3p-N6-N5a-P1,76.19999999999999,0,0.941802978515625,0.0581970028579235
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)CC(=O)O)cc2,SQ3p-N6-N5a-P2,78.3,0,0.9323610663414,0.067638985812664
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)COC)cc2,SQ3p-N6-N5a-N3r,68.69999999999999,0,0.9450815320014954,0.0549184121191501
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)CC(=O)OC)cc2,SQ3p-N6-N5a-N4a,70.1,0,0.9783583879470824,0.0216416548937559
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)COC(=O)C)cc2,SQ3p-N6-N5a-N4a,70.1,0,0.9723241329193116,0.0276758316904306
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)CC(=O)C)cc2,SQ3p-N6-N5a-N5a,72.6,0,0.9551050066947936,0.0448949486017227
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)CN(C)C)cc2,SQ3p-N6-N5a-N3a,68.69999999999999,0,0.9709059596061708,0.0290940161794424
CCCCCCCCCCCC[NH2+]COc2ccc(CC(=O)COc4ccc(C)cc4)cc2,SQ3p-N6-N5a-N6,74.89999999999999,0,0.9867454171180724,0.0132545717060565
CCCCCCCCCCCC[NH2+]COc2ccc(CNCO)cc2,SQ3p-N6-N4-P1,73.69999999999999,0,0.948613166809082,0.0513867959380149
CCCCCCCCCCCC[NH2+]COc2ccc(CNCC(=O)N)cc2,SQ3p-N6-N4-P5,81.8,0,0.8954808115959167,0.1045192256569862
CCCCCCCCCCCC[NH2+]COc2ccc(CNCC(=O)NC)cc2,SQ3p-N6-N4-P3,77.6,0,0.9704458713531494,0.0295540746301412
CCCCCCCCCCCC[NH2+]COc2ccc(CNCC(=O)N(C)C)cc2,SQ3p-N6-N4-P3a,77.6,0,0.9918928146362304,0.0081072328612208
CCCCCCCCCCCC[NH2+]COc2ccc(CNCC(=O)O)cc2,SQ3p-N6-N4-P2,75.8,0,0.8954808115959167,0.1045192256569862
CCCCCCCCCCCC[NH2+]COc2ccc(CNCC(=O)OC)cc2,SQ3p-N6-N4-N4a,67.6,0,0.9704458713531494,0.0295540820807218
